province_en,Longtitude,Latitude,Attributes,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Hunan,113.0,28.21667,AT,170.972,177.349,176.446,171.835,175.227,164.338,168.491,166.816,178.566,173.685,173.464,173.541,173.737,174.507,172.114,171.757,180.42
Hunan,113.0,28.21667,DPT,118.219,125.851,122.605,117.58,120.588,120.754,111.266,118.193,120.685,125.644,137.087,136.481,133.441,133.419,131.531,135.191,137.623
Hunan,113.0,28.21667,SLP,10157.737,10153.501,10154.359,10159.068,10151.621,10147.713,10163.139,10150.079,10151.039,10157.154,10157.038,10155.162,10161.209,10152.501,10156.867,10160.121,10153.25
Hunan,113.0,28.21667,WSR,21.033,21.224,21.082,20.51,21.524,16.191,20.727,26.94,24.406,22.966,24.768,27.565,26.398,26.392,25.579,25.578,24.462
Hunan,113.0,28.21667,Rain,13.895,31.018,27.971,31.131,27.709,36.63,27.997,29.389,34.407,35.618,37.49,40.842,41.194,35.249,31.7,26.587,27.29
Guangdong,113.23333,23.16667,AT,222.2,226.181,225.992,218.814,224.087,216.805,216.723,219.587,220.62,222.871,229.072,224.699,226.392,225.479,228.904,229.755,233.242
Guangdong,113.23333,23.16667,DPT,167.216,176.964,170.794,164.833,169.402,170.907,156.651,174.47,169.429,172.353,187.315,185.163,182.05,180.274,186.257,183.548,180.172
Guangdong,113.23333,23.16667,SLP,10132.51,10130.852,10129.831,10132.516,10125.705,10134.069,10134.367,10120.675,10129.772,10132.987,10134.65,10131.223,10136.902,10129.28,10130.596,10140.983,10133.086
Guangdong,113.23333,23.16667,WSR,23.201,23.81,23.972,23.918,25.558,24.167,25.907,24.738,25.675,24.83,24.958,25.269,24.791,24.197,24.506,26.656,25.628
Guangdong,113.23333,23.16667,Rain,20.764,49.401,42.137,51.149,43.045,48.26,47.005,38.943,53.672,49.986,60.989,62.401,51.042,54.326,48.712,27.284,29.444
Guangxi,108.320004,22.82402,AT,213.136,217.059,216.589,208.221,218.628,212.413,206.9,209.877,214.751,214.843,219.056,218.276,216.606,215.322,215.541,216.28,220.517
Guangxi,108.320004,22.82402,DPT,161.584,165.367,159.732,156.971,162.608,166.065,152.838,165.135,165.736,169.215,179.596,172.594,173.174,171.15,173.985,173.428,176.108
Guangxi,108.320004,22.82402,SLP,10125.074,10126.332,10126.79,10130.228,10120.702,10126.332,10133.689,10116.313,10125.501,10127.619,10128.004,10125.57,10132.39,10124.091,10126.334,10131.614,10125.748
Guangxi,108.320004,22.82402,WSR,18.916,18.927,19.734,19.199,19.991,19.247,20.068,19.446,19.361,19.506,19.891,21.539,21.177,23.169,23.441,24.668,24.031
Guangxi,108.320004,22.82402,Rain,16.428,35.768,33.064,42.505,32.812,36.309,33.13,30.091,38.231,46.545,51.223,48.396,45.421,41.825,36.192,27.064,24.733
Hainan,110.35,20.01667,AT,249.72,253.387,247.9,241.048,248.011,252.545,238.777,250.241,245.09,250.82,256.25,251.32,251.639,252.49,254.605,248.75,250.008
Hainan,110.35,20.01667,DPT,201.814,206.072,203.344,197.078,204.905,209.644,198.474,213.069,204.187,213.979,215.401,214.404,215.741,214.501,211.967,207.792,209.864
Hainan,110.35,20.01667,SLP,10111.369,10110.067,10110.527,10113.836,10106.288,10109.682,10113.108,10098.888,10112.159,10113.993,10118.753,10113.105,10116.535,10110.573,10122.007,10126.981,10118.965
